Income,Age,Dependents,Occupation,City_Tier,Rent,Loan_Repayment,Insurance,Groceries,Transport,Eating_Out,Entertainment,Utilities,Healthcare,Education,Miscellaneous,Desired_Savings_Percentage,Desired_Savings,Disposable_Income,Potential_Savings_Groceries,Potential_Savings_Transport,Potential_Savings_Eating_Out,Potential_Savings_Entertainment,Potential_Savings_Utilities,Potential_Savings_Healthcare,Potential_Savings_Education,Potential_Savings_Miscellaneous
44637,49,0,Self_Employed,Tier_1,13391,0,2206,6659,2637,1652,1536,2912,1547,0,832,14,6201,11266,1686,329,466,195,678,68,0,86
26859,34,2,Retired,Tier_2,5372,0,870,2818,1543,649,1050,1626,1137,1552,564,7,1923,9677,540,119,142,234,287,7,56,97
50368,35,1,Student,Tier_3,7555,4612,2202,6313,3221,1514,1723,3368,2179,3160,628,14,7050,13891,1466,474,411,460,488,7,107,139
101456,21,0,Self_Employed,Tier_3,15218,6809,4889,14690,7106,5040,2858,6129,4571,0,2526,16,16695,31618,1876,762,1241,320,1390,194,0,296
24875,52,4,Professional,Tier_2,4975,3113,636,3034,1276,693,660,1093,1169,1445,516,8,1874,6266,789,68,62,187,194,47,67,97
24876,57,4,Self_Employed,Tier_2,4975,0,1038,3250,1760,1049,751,1024,1022,2004,402,6,1479,7599,958,522,136,149,87,13,34,97
106120,53,0,Self_Employed,Tier_2,21224,0,4360,12790,6346,4391,2627,6203,3807,0,2777,17,18400,41595,2799,913,438,542,838,112,0,409
55431,40,1,Professional,Tier_2,11086,8308,1755,8194,3353,1742,1220,2362,2574,5520,850,12,6636,8466,1059,838,466,328,353,93,116,72
20607,32,4,Retired,Tier_1,6182,3562,1019,3067,1171,688,418,921,830,1939,446,6,363,363,823,213,85,98,252,10,60,81
46305,30,1,Student,Tier_2,9261,0,2130,5066,2500,2040,1017,2945,1650,3086,920,12,5615,15690,962,380,599,188,794,35,40,203
20707,31,0,Student,Tier_3,3106,0,1032,3037,1459,451,785,1548,819,0,410,8,1730,8059,504,392,35,230,263,38,0,78
20669,31,4,Professional,Tier_2,4134,0,754,2597,1123,879,643,1409,1019,1506,484,8,1704,6120,554,267,120,124,272,1,30,94
36407,54,3,Retired,Tier_1,10922,4583,971,4686,2503,1329,823,2336,1154,1940,570,8,2743,4590,446,190,346,85,474,41,85,41
6492,22,3,Retired,Tier_3,974,0,184,955,495,309,230,472,223,590,179,7,464,1881,180,38,60,49,61,4,20,47
7548,39,4,Self_Employed,Tier_2,1510,0,330,1033,568,266,277,511,236,522,133,5,412,2161,208,115,72,78,98,3,5,37
19132,45,2,Student,Tier_2,3826,2525,590,2516,1164,662,661,1160,919,1443,462,8,1534,3204,323,109,183,101,315,17,67,92
13342,62,4,Retired,Tier_2,2668,2540,353,1920,961,622,332,986,532,1043,286,8,1086,1098,568,205,155,96,263,20,5,61
38575,21,4,Professional,Tier_2,7715,0,1838,5127,2614,1268,1803,2081,1196,3476,844,7,2666,10613,863,203,218,113,435,7,41,180
14509,55,4,Student,Tier_1,4353,829,439,1506,812,516,414,766,657,1450,285,7,1050,2483,384,194,35,100,56,8,42,85
9693,46,0,Professional,Tier_2,1939,0,218,1307,562,396,428,724,306,0,155,5,506,3659,138,103,118,70,67,3,0,20
96904,54,4,Retired,Tier_2,19381,9481,3585,14257,6272,2829,3880,4067,3957,6227,2132,14,13126,20836,4013,1650,585,200,452,192,295,404
25043,52,4,Self_Employed,Tier_2,5009,2898,914,3171,1947,1098,840,1321,1066,1470,407,6,1439,4901,860,336,218,161,355,50,33,71
31665,37,0,Student,Tier_1,9500,0,1034,4019,2181,1373,876,1687,1579,0,624,7,2164,8792,1182,273,127,262,295,39,0,187
9597,52,4,Retired,Tier_2,1919,0,320,1093,627,430,379,515,417,541,259,5,523,3096,310,86,73,52,143,6,16,21
19408,52,3,Retired,Tier_1,5822,2832,516,2487,1347,957,930,1041,593,1605,452,6,826,826,541,255,120,170,121,20,79,109
32784,37,3,Professional,Tier_2,6557,0,947,4816,1788,1519,1452,1558,1175,2225,974,9,3073,9773,323,492,258,294,193,35,69,252
11946,19,4,Student,Tier_2,2389,0,413,1364,642,476,497,699,404,782,131,6,670,4148,322,63,133,111,102,20,0,16
40518,35,0,Retired,Tier_3,6078,0,1992,6013,3206,1071,1147,2250,1222,0,1073,15,5994,16467,1338,503,78,272,267,48,0,62
18554,47,4,Self_Employed,Tier_2,3711,1192,917,2513,1394,675,773,1170,795,1575,417,10,1793,3423,339,400,151,189,128,30,32,112
23756,59,4,Student,Tier_2,4751,0,537,2635,1579,598,1039,1447,1068,2354,326,6,1502,7422,598,235,134,290,358,18,89,56
18538,46,1,Professional,Tier_2,3708,3360,875,2507,1187,729,409,946,747,1722,294,9,1734,2055,266,184,107,123,203,36,79,47
132029,56,2,Self_Employed,Tier_3,19804,0,4384,15999,7955,5733,4929,6808,5861,8513,2002,19,24470,50041,905,699,1558,691,751,63,413,308
29678,39,0,Retired,Tier_1,8903,2892,1002,3838,1959,769,1052,1757,1047,0,398,5,1528,6060,248,273,224,174,419,21,0,106
12872,46,2,Retired,Tier_2,2574,0,396,1841,1013,281,564,878,557,1265,348,9,1140,3154,247,227,69,51,232,24,47,81
57930,63,1,Retired,Tier_2,11586,0,2687,6416,3011,1164,2301,3996,1886,5289,773,13,7631,18821,1644,786,117,637,809,89,15,161
11297,27,2,Retired,Tier_2,2259,0,381,1383,764,554,456,702,503,804,203,9,980,3288,307,99,28,74,67,14,10,61
35456,37,4,Professional,Tier_3,5318,2757,715,4322,2784,951,1212,2597,1666,1978,977,6,2044,10178,833,149,199,110,301,6,40,261
6256,33,3,Self_Employed,Tier_2,1251,868,301,841,457,234,302,459,245,380,124,6,402,793,100,108,19,32,81,3,9,8
10367,23,0,Student,Tier_3,1555,737,510,1072,763,292,237,788,468,0,106,6,653,3838,142,189,32,33,177,13,0,11
35117,34,0,Retired,Tier_1,10535,0,1158,3839,2434,1225,906,2256,1563,0,1016,5,1886,10185,1010,457,177,163,188,61,0,256
54162,23,4,Self_Employed,Tier_1,16248,5390,1792,6609,4218,1305,2483,3827,1743,4772,600,11,5174,5174,597,500,98,574,199,41,101,143
34408,39,2,Self_Employed,Tier_2,6882,0,706,4378,2683,1174,822,2051,1118,3379,613,9,3156,10603,1070,595,253,46,333,33,49,92
27349,35,0,Self_Employed,Tier_3,4102,0,713,2794,1792,1317,836,1835,1130,0,683,6,1532,12148,251,268,233,144,161,5,0,44
23578,49,1,Self_Employed,Tier_2,4716,0,557,2881,1707,1148,493,1880,894,1435,669,10,2348,7200,741,222,95,27,528,37,65,115
